home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_lost,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_con,status
Australia,4,2,New Zealand,0,401.0,62.0,10.0,2.0,7.0,1.0,17.0,1
Poland,4,3,Yugoslavia,0,652.0,198.0,-3.0,0.0,0.0,-3.0,-1.0,1
Hungary,3,0,Switzerland,0,-502.0,-221.0,-5.0,3.0,-3.0,-5.0,-7.0,1
Yugoslavia,2,2,Switzerland,0,-633.0,-279.0,0.0,4.0,-4.0,0.0,-18.0,2
Wales,3,2,Scotland,0,267.0,164.0,-18.0,-3.0,-11.0,-4.0,-37.0,1
Silesia,1,2,Poland,0,-809.0,-253.0,-34.0,-16.0,-13.0,-5.0,-45.0,3
Denmark,2,0,Finland,0,574.0,123.0,20.0,9.0,6.0,5.0,26.0,1
Northern Ireland,0,3,England,0,-664.0,-1.0,-56.0,-26.0,-14.0,-16.0,-41.0,3
Poland,1,2,Czechoslovakia,0,636.0,199.0,4.0,5.0,-1.0,0.0,0.0,3
Germany,8,1,Belgium,0,120.0,-75.0,61.0,47.0,3.0,11.0,53.0,1
Switzerland,2,2,Romania,0,599.0,259.0,16.0,4.0,9.0,3.0,32.0,2
Northern Ireland,1,1,Wales,0,-373.0,-136.0,8.0,2.0,4.0,2.0,19.0,2
Germany,2,2,Norway,0,597.0,39.0,101.0,65.0,19.0,17.0,117.0,2
England,1,2,Wales,0,291.0,-135.0,64.0,28.0,18.0,18.0,60.0,3
Switzerland,0,2,Germany,0,-79.0,153.0,-72.0,-55.0,-5.0,-12.0,-61.0,3
Belgium,2,2,Denmark,0,-56.0,-13.0,28.0,11.0,13.0,4.0,46.0,2
Germany,1,0,Poland,0,60.0,-72.0,75.0,51.0,9.0,15.0,80.0,1
Italy,5,2,Switzerland,0,-438.0,-259.0,46.0,33.0,0.0,13.0,13.0,1
England,4,1,France,0,169.0,-49.0,3.0,-5.0,0.0,8.0,-13.0,1
Netherlands,0,1,Austria,0,518.0,86.0,21.0,15.0,-2.0,8.0,1.0,3
Uruguay,0,1,Argentina,0,-69.0,84.0,-25.0,-19.0,-3.0,-3.0,-19.0,3
Germany,3,1,Hungary,0,581.0,68.0,77.0,52.0,8.0,17.0,68.0,1
Belgium,2,3,France,0,-53.0,28.0,-18.0,-14.0,0.0,-4.0,-5.0,3
Catalonia,0,2,Spain,0,-648.0,-108.0,-63.0,-30.0,-18.0,-15.0,-72.0,3
Republic of Ireland,4,4,Belgium,0,-484.0,-147.0,-35.0,-18.0,-16.0,-1.0,-62.0,2
Mexico,3,2,Cuba,0,805.0,171.0,54.0,15.0,26.0,13.0,86.0,1
France,0,1,Switzerland,0,12.0,-106.0,29.0,22.0,2.0,5.0,13.0,3
Luxembourg,1,9,Germany,0,-716.0,-47.0,-109.0,-67.0,-22.0,-20.0,-125.0,3
Mexico,5,0,Cuba,0,805.0,171.0,54.0,15.0,26.0,13.0,86.0,1
Netherlands,9,3,Belgium,0,14.0,-56.0,2.0,7.0,-8.0,3.0,-24.0,1
Spain,9,0,Portugal,0,50.0,-53.0,33.0,16.0,8.0,9.0,37.0,1
Mexico,4,1,Cuba,0,805.0,171.0,54.0,15.0,26.0,13.0,86.0,1
Portugal,1,2,Spain,0,-50.0,53.0,-33.0,-16.0,-8.0,-9.0,-37.0,3
France,1,2,Czechoslovakia,0,629.0,174.0,36.0,23.0,5.0,8.0,32.0,3
Switzerland,2,3,Austria,0,545.0,220.0,8.0,0.0,4.0,4.0,17.0,3
Netherlands,5,2,Republic of Ireland,0,498.0,91.0,37.0,25.0,8.0,4.0,38.0,1
England,3,0,Scotland,0,558.0,29.0,46.0,25.0,7.0,14.0,23.0,1
Luxembourg,1,6,France,0,-649.0,-94.0,-66.0,-34.0,-19.0,-13.0,-77.0,3
Belgium,2,4,Netherlands,0,-14.0,56.0,-2.0,-7.0,8.0,-3.0,24.0,3
Hungary,2,1,England,0,-683.0,-66.0,-37.0,-14.0,-5.0,-18.0,-7.0,1
Netherlands,4,5,France,0,-39.0,-28.0,-16.0,-7.0,-8.0,-1.0,-29.0,3
Japan,1,7,Indonesia,0,556.0,114.0,20.0,5.0,10.0,5.0,23.0,3
Czechoslovakia,2,1,England,0,-798.0,-125.0,-39.0,-18.0,-5.0,-16.0,-19.0,1
China PR,4,3,Japan,0,-469.0,-94.0,-21.0,-5.0,-11.0,-5.0,-29.0,1
Denmark,4,2,Poland,0,-4.0,16.0,-14.0,-7.0,-7.0,0.0,-19.0,1
Sweden,4,2,Poland,0,-443.0,-112.0,17.0,3.0,6.0,8.0,28.0,1
Mexico,2,4,United States,0,173.0,-19.0,24.0,8.0,8.0,8.0,36.0,3
Yugoslavia,8,4,Brazil,0,-746.0,-85.0,-72.0,-57.0,-5.0,-10.0,-59.0,1
Denmark,3,5,Sweden,0,439.0,128.0,-31.0,-10.0,-13.0,-8.0,-47.0,3
Catalonia,2,1,Brazil,0,-890.0,-134.0,-109.0,-73.0,-18.0,-18.0,-105.0,1
Catalonia,2,2,Brazil,0,-890.0,-134.0,-109.0,-73.0,-18.0,-18.0,-105.0,2
Finland,2,1,Denmark,0,-574.0,-123.0,-20.0,-9.0,-6.0,-5.0,-26.0,1
Uruguay,2,2,Argentina,0,-69.0,84.0,-25.0,-19.0,-3.0,-3.0,-19.0,2
Argentina,1,0,Uruguay,0,69.0,-84.0,25.0,19.0,3.0,3.0,19.0,1
Yugoslavia,4,1,Poland,0,-652.0,-198.0,3.0,0.0,0.0,3.0,1.0,1
Poland,2,5,Germany,0,-60.0,72.0,-75.0,-51.0,-9.0,-15.0,-80.0,3
Norway,3,1,Denmark,0,-533.0,-127.0,-12.0,-7.0,-3.0,-2.0,-18.0,1
Wales,0,4,England,0,-291.0,135.0,-64.0,-28.0,-18.0,-18.0,-60.0,3
Denmark,2,5,Germany,0,-64.0,88.0,-89.0,-58.0,-16.0,-15.0,-99.0,3
Latvia,2,6,Poland,0,-755.0,-206.0,-34.0,-16.0,-13.0,-5.0,-45.0,3
Poland,3,3,Romania,0,618.0,178.0,13.0,8.0,5.0,0.0,13.0,2
Switzerland,2,2,Czechoslovakia,0,617.0,280.0,7.0,1.0,3.0,3.0,19.0,2
Switzerland,2,4,Netherlands,0,27.0,134.0,-13.0,-15.0,6.0,-4.0,16.0,3
Austria,3,0,Switzerland,0,-545.0,-220.0,-8.0,0.0,-4.0,-4.0,-17.0,1
England,3,2,Italy,0,619.0,104.0,-14.0,-16.0,2.0,0.0,-13.0,1
Scotland,3,2,Wales,0,-267.0,-164.0,18.0,3.0,11.0,4.0,37.0,1
France,3,2,Yugoslavia,0,645.0,173.0,29.0,18.0,6.0,5.0,31.0,1
Argentina,4,1,Chile,0,530.0,-16.0,48.0,32.0,8.0,8.0,44.0,1
Peru,0,1,Uruguay,0,-571.0,-125.0,-38.0,-19.0,-10.0,-9.0,-41.0,3
Chile,1,2,Uruguay,0,-461.0,-68.0,-23.0,-13.0,-5.0,-5.0,-25.0,3
Peru,1,4,Argentina,0,-640.0,-41.0,-63.0,-38.0,-13.0,-12.0,-60.0,3
Spain,2,0,France,0,-141.0,-114.0,-3.0,-4.0,-1.0,2.0,-5.0,1
Argentina,0,3,Uruguay,0,69.0,-84.0,25.0,19.0,3.0,3.0,19.0,3
Germany,4,0,Switzerland,0,79.0,-153.0,72.0,55.0,5.0,12.0,61.0,1
England,2,1,Northern Ireland,0,664.0,1.0,56.0,26.0,14.0,16.0,41.0,1
Italy,2,1,France,0,-450.0,-153.0,17.0,11.0,-2.0,8.0,0.0,1
Netherlands,2,3,Germany,0,-106.0,19.0,-59.0,-40.0,-11.0,-8.0,-77.0,3
Czechoslovakia,3,1,Switzerland,0,-617.0,-280.0,-7.0,-1.0,-3.0,-3.0,-19.0,1
France,1,3,Germany,0,-67.0,47.0,-43.0,-33.0,-3.0,-7.0,-48.0,3
Wales,3,1,Northern Ireland,0,373.0,136.0,-8.0,-2.0,-4.0,-2.0,-19.0,1
Netherlands,4,2,Belgium,0,14.0,-56.0,2.0,7.0,-8.0,3.0,-24.0,1
Scotland,2,0,England,0,-558.0,-29.0,-46.0,-25.0,-7.0,-14.0,-23.0,1
Belgium,1,1,France,0,-53.0,28.0,-18.0,-14.0,0.0,-4.0,-5.0,2
Switzerland,6,2,Hungary,0,502.0,221.0,5.0,-3.0,3.0,5.0,7.0,1
Belgium,1,6,Germany,0,-120.0,75.0,-61.0,-47.0,-3.0,-11.0,-53.0,3
Portugal,3,3,Spain,0,-50.0,53.0,-33.0,-16.0,-8.0,-9.0,-37.0,2
Switzerland,1,0,Republic of Ireland,0,525.0,225.0,24.0,10.0,14.0,0.0,54.0,1
Germany,3,1,Republic of Ireland,0,604.0,72.0,96.0,65.0,19.0,12.0,115.0,1
Austria,5,2,Poland,0,-564.0,-139.0,-5.0,-4.0,0.0,-1.0,2.0,1
Belgium,0,2,Netherlands,0,-14.0,56.0,-2.0,-7.0,8.0,-3.0,24.0,3
Germany,1,2,Spain,0,208.0,67.0,46.0,37.0,4.0,5.0,53.0,3
